127.0.0.1, 2014-03-04 21:14:44, GET, /, HTTP/1.1, 303, 0.001072
127.0.0.1, 2014-03-04 21:14:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.894989
127.0.0.1, 2014-03-04 21:16:04, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.028098
127.0.0.1, 2014-03-04 21:16:21, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.039403
127.0.0.1, 2014-03-04 21:16:34, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.019349
127.0.0.1, 2014-03-04 21:16:34, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.030004
127.0.0.1, 2014-03-04 21:16:44, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.015605
127.0.0.1, 2014-03-04 21:16:44, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.027904
127.0.0.1, 2014-03-04 21:16:56, GET, /, HTTP/1.1, 303, 0.000619
127.0.0.1, 2014-03-04 21:16:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.019779
127.0.0.1, 2014-03-04 21:16:59, GET, /admin/default/index, HTTP/1.1, 200, 0.259122
127.0.0.1, 2014-03-04 21:16:59, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000423
127.0.0.1, 2014-03-04 21:16:59, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000358
127.0.0.1, 2014-03-04 21:16:59, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000395
127.0.0.1, 2014-03-04 21:16:59, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000503
127.0.0.1, 2014-03-04 21:16:59, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.002563
127.0.0.1, 2014-03-04 21:16:59, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000400
127.0.0.1, 2014-03-04 21:16:59, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000254
127.0.0.1, 2014-03-04 21:17:00, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000348
127.0.0.1, 2014-03-04 21:17:00, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000258
127.0.0.1, 2014-03-04 21:17:00, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000661
127.0.0.1, 2014-03-04 21:17:00, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000392
127.0.0.1, 2014-03-04 21:17:00, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.001025
127.0.0.1, 2014-03-04 21:17:00, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000778
127.0.0.1, 2014-03-04 21:17:00, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000779
127.0.0.1, 2014-03-04 21:17:00, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.000846
127.0.0.1, 2014-03-04 21:17:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000435
127.0.0.1, 2014-03-04 21:17:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000410
127.0.0.1, 2014-03-04 21:17:04, POST, /admin/default/index, HTTP/1.1, 303, 0.029987
127.0.0.1, 2014-03-04 21:17:04, GET, /admin/default/site, HTTP/1.1, 200, 0.068973
